chi_w,m2
0.16920361804248232,0.09290494056863978
0.08851867582142256,0.09086883002186448
0.05176277468785401,0.08792453814337135
0.11437765551760845,0.08355180324232798
0.14482649826271057,0.07731401099291375
0.26928864589884394,0.06763036417305238
0.09978036723275117,0.053951995231648356
0.22579778247907162,0.049776858174484205
0.1750523444604547,0.04430950242277544
0.20761206536969562,0.038373539971438816
0.15535587381548283,0.03254919343702636
0.2084724740494579,0.02696255494926485
0.20458397726067515,0.020994830520487357
0.15378415258088554,0.01542759516362055
0.21457326503062235,0.009668776168444675
0.09329840012547078,0.09414101072744636
0.12836316066845957,0.09340830757652185
0.06550761550573317,0.08871119129930569
0.02374049861081648,0.08498043384089563
0.06710833899742807,0.07818362207238733
0.15426067220359096,0.06896115334370308
0.16613178662214467,0.05503638446499222
0.11982885268107392,0.05067306611336138
0.17543334260443655,0.0446711050735799
0.1697455956966779,0.03892518468645445
0.1510448708236977,0.03331870880306194
0.16410140107043136,0.02727480268878456
0.15589356739711166,0.021552384898683663
0.14491934429427114,0.015689587284781453
0.23754412920421708,0.009826204901538557
0.1542873401917266,0.09482124694328577
0.13493507783689182,0.09214382841441812
0.1310745208741034,0.08968359864636305
0.12969403728429033,0.08579089408434235
0.1528244078193002,0.07876660485634862
0.10129240056158384,0.06962531712146987
0.0666232180743284,0.05509973680294637
0.15860209796526115,0.0509507478561849
0.13338476503722355,0.04508064466985813
0.20694483870082742,0.039082776904996744
0.17852052632208182,0.03340538807392254
0.20707190780836893,0.027319591584028073
0.1687011074653551,0.021571568602607206
0.2335685512710835,0.01573210415627955
0.2102104189170877,0.009888298873578403
0.036068567906031884,0.09207418640426095
0.10233770998670813,0.09010999713057116
0.1032801917443604,0.08728765239205374
0.08277981203402887,0.08325897106767384
0.13923573339650044,0.07723055597204267
0.09428726899813028,0.06753286499617522
0.13355431063327194,0.05405501733425745
0.18095892888446408,0.04940693933646423
0.11484683454246,0.04363325121227846
0.2507872036357009,0.03816914624568018
0.13442292075010204,0.03246177150093479
0.1440391381721462,0.026704891829110334
0.2024777067678231,0.020899892723754056
0.13883251078139713,0.01528324584764228
0.17225104238757843,0.009584913085558242
0.0970497069777452,0.09398499255223333
0.25620796095887266,0.09238760515024594
0.12897411297873537,0.08937277855279874
0.08350875265071292,0.0847557471786601
0.15970913715801235,0.07844458776388766
0.1355094682517139,0.06936990872770399
0.05177726332873768,0.05478753378755584
0.291710702528342,0.050514094556866715
0.20741857166075706,0.04474287879693525
0.19141888692491515,0.03898255874443406
0.1676305682694467,0.033027485187596205
0.25526738102291047,0.02727628145250042
0.2229781299338776,0.021540045352106484
0.1820685261030543,0.015594535781433574
0.16743564575280365,0.009852310371772515
