topology,n,slope_mean,slope_std,slope_median,slope_iqr,slope_theil,r2_mean,n_fits
small_world,150,-0.4113486680817308,0.2527443913375908,-0.4062243518356306,0.469172408952122,-0.5911777236834381,0.41999711896457265,5
grid_2d_medium,400,-1.7407854636584514,0.025508209638524,-1.7403038307937941,0.02424012946666365,-2.2209341066381216,0.8994780927062248,5
grid_2d_large,900,-2.9421520839434265,0.1532157192155909,-2.879557109789851,0.23489885405016153,-3.246177667534126,0.9434824046903157,5
hierarchical_modular,100,-0.5098390513066248,0.1730166542072827,-0.5280951045519875,0.17335869320463188,-0.42982338669562326,0.6129042339278753,5
scale_free,400,-1.0997054786373948,0.293696071685619,-1.2296289671557907,0.07552277414688269,-0.7842784305698491,0.7259008497970774,5
gnn_style,256,-0.3662753373954069,0.051578828849969664,-0.34328487842839606,0.02125686659013093,-0.3000200684761251,0.5912638910121607,5
random_regular,256,-0.8342380723744043,0.06398895434728998,-0.849460215781673,0.021197102386973032,-0.6430348884238634,0.7265788610800923,5
erdos_renyi,256,-0.6843022091508406,0.16294876307554126,-0.7562529147387109,0.3217847899261738,-0.554522374153273,0.6241237233333495,5
slow_edge_evolution,200,-0.846766196156772,0.2621769358197149,-0.7657118441572568,0.14887969122941813,-0.8521370266844256,0.28502173823829835,5
heterogeneous_gamma,256,-1.4319017356063697,0.0067195786521247365,-1.433277606689995,0.00977788043372918,-1.8127189637880474,0.8797011009680625,5
