chi_w,m2
-0.018037776678276135,0.07862784763385514
0.10053976091517397,0.07421357878204958
0.007198363873504365,0.07229144672328505
-0.003181982017058438,0.07087216295295588
0.05374863119030768,0.06715635224646567
0.08767821238780063,0.056075604540479176
0.10318617471900532,0.053696188660258895
0.18551828224354272,0.04858395721942971
0.04258464885527555,0.040304162297371715
0.1991614534946891,0.03625460597823381
0.1686418066981649,0.0280658287527147
0.28519716540317097,0.02255587029816164
0.23781410991419577,0.01570266147851499
0.24166130107091002,0.008507649762878888
4.941902404365095e-05,0.06913184928704136
-0.01097574109622701,0.0713806141605476
-0.03718904011761254,0.07434846112507888
-0.06478016057444869,0.07006380126380274
-0.028997641906657545,0.06405463381145607
0.006628642055427847,0.06285556900914793
-0.014349780170917287,0.052139930053460425
0.17466830988137766,0.05186545860810744
0.10101216485242615,0.04716063163843235
0.24688829373064905,0.040203921184743224
0.11414674764276767,0.03536321371579663
0.27302884962585927,0.02654339399432016
0.21125722339088804,0.021140078953750533
0.25026062938072585,0.014628657111740384
0.3453051654937108,0.008337711137464282
0.030014224667833656,0.07624117499570168
-0.031685821186748564,0.08051692106203229
0.08665866994013965,0.0748443933525294
0.017453691610963606,0.06788399101152469
0.10156744304853757,0.06406862561994063
0.05335137490087541,0.055544727113927314
0.0783096840124255,0.054082685186137555
0.05719489537246114,0.050735577064435974
0.20696779903318482,0.04021633944479649
0.12683028293915188,0.03560999582465391
0.1763125727439583,0.02741407668972773
0.24375933484879048,0.021191432970145578
0.1929614426163488,0.015036996472655125
0.24702098113921353,0.008396614713199895
0.1155513941673797,0.07611796810822485
-0.016829794797465103,0.08013891865016609
0.11910539492092165,0.07395383016351859
0.03421986109677566,0.07196989429993247
-0.03638236315303295,0.07231865937193978
6.162748982774247e-05,0.06077298254884833
0.14669285631322107,0.05664204712803443
0.05455551199829678,0.05311385939126262
0.17271496588458596,0.04522224136432764
0.11347531258641214,0.04553831991601033
0.1935460289443967,0.03449074941737002
0.18676772004641753,0.027150664250327826
0.269804749870608,0.021212723054197444
0.1868481909481304,0.013849059875777826
0.31540401380724437,0.007917442308019208
-0.05371527603290946,0.07679750050369412
-0.024666120460399676,0.0787879572077081
0.0378614778434308,0.07471533415134807
0.055757395672143606,0.08097005622965245
0.0463444547600384,0.06974543218411342
0.10716340622912504,0.06938602361525968
0.12975451350977665,0.056746354936482855
0.08797525539911072,0.054085149118520456
0.26933206547683464,0.05149139131647186
0.15252096245629723,0.0427735163416177
0.183810628958345,0.033905651792238735
0.15262932093653367,0.02768208705372447
0.19607919366234156,0.022854155483153164
0.2851590446560074,0.01493435896988573
0.30870424423018594,0.009196664192865096
