chi_w,m2
0.05658844639328997,0.4013874676377194
-0.0892606413970598,0.3854316796750769
0.04897580707998106,0.39741448595262585
-0.021844856290048842,0.3913013025808035
0.012040041879222585,0.3933013060111746
0.06483863979766125,0.38428640501895145
0.07099190574379177,0.38279080597559306
0.12612802028215708,0.3773918850406187
0.4446268422253228,0.3332053949210357
0.5965994166395601,0.2802497139412345
0.6966584980092965,0.23379245287489003
1.0057758452277994,0.18583061706768497
1.3652451847656892,0.13639939371527016
1.5513794819186113,0.08794833070174089
1.8428345582328005,0.039759940182374415
-0.051953322166063076,0.3867423200510855
0.04501920754016764,0.3961042078750879
0.11963606199285204,0.3991616774535804
0.09497464142363565,0.3956133912425242
-0.031906006891418315,0.38561589197589974
0.06904390999071008,0.38426102269535845
0.18571719538064912,0.3792379598024518
0.1188466152567067,0.3817242341728698
0.2889691211725607,0.3308731531384364
0.5489115158058093,0.28062202104265477
0.7377190057075331,0.23362265966249457
1.0468856939692357,0.18612754446058674
1.3201219297460587,0.13618192936053147
1.5653997808433335,0.08780643123675294
1.83838905656403,0.040274948616505934
0.1470527713558969,0.3970458575050495
-0.025419555751959422,0.3946847189743728
0.055770368862599895,0.39669462187222204
-0.017633461043636833,0.39205668622385975
0.007986765059674328,0.3914909613412865
0.06122658079027521,0.3917794848526603
0.17936500161916036,0.37809712155253333
0.10686123900866806,0.3848847698710155
0.3073715746938983,0.3326668316770106
0.659423677637248,0.28514561095072394
0.8589802829186546,0.23503570905839677
0.9857342168403365,0.1860198279597626
1.3053759256451443,0.13676658814880788
1.5041910718868268,0.08788947019060452
1.715693935859034,0.03999969423586659
-0.019031445858365137,0.39662831592272957
-0.034747096610235007,0.39489316366658006
0.03128316479105253,0.3890968108401534
-0.06344948259395355,0.39103809472868606
0.05842881055850602,0.3884539488767226
0.13841309686087055,0.3859612318365554
0.03212199613371891,0.3805016085081882
-0.025957240118828384,0.3751695028120479
0.4125829644901029,0.3290718618626602
0.6782730136519732,0.28068838339309754
0.8124978416136472,0.23364086763256703
1.1144745089914188,0.18386389177370377
1.3588300539147071,0.13506571162487524
1.46211447477788,0.08709453545710819
0.7771234504855266,0.03954210145091892
-0.01058507547658305,0.4050119916385231
0.07573126230159843,0.39900836414686297
0.025000099307114665,0.39542761356024914
-0.13382472748110086,0.3962951979667164
0.057353298627173865,0.39128747098900757
0.02187608529258811,0.38925999611134043
0.09287901020623934,0.38795224033927544
0.16597118864209848,0.38611767963872345
0.332746358706165,0.3346411908478619
0.500235268598171,0.28531768189683415
0.8064427999395936,0.23702831478305303
1.0574575434083273,0.18863794081164392
1.4002955849794345,0.13859134295760778
1.5038181764043697,0.08919974093016725
1.768850912987927,0.04015525562718415
